WARNING - 2022-05-09 07:00:02,055 -  * Debugger is active!
INFO - 2022-05-09 07:00:02,066 -  * Debugger PIN: 637-146-625
INFO - 2022-05-09 07:00:02,104 -  * Running on http://192.168.0.104:8080/ (Press CTRL+C to quit)
INFO - 2022-05-09 07:00:12,198 - ping
DEBUG - 2022-05-09 07:00:12,207 - Starting new HTTP connection (1): u2net-predictor.tenant-compass.global.coreweave.com:80
DEBUG - 2022-05-09 07:00:12,988 - http://u2net-predictor.tenant-compass.global.coreweave.com:80 "GET / HTTP/1.1" 200 None
INFO - 2022-05-09 07:00:12,990 - ping: 200 b'Hello U^2-Net!'
INFO - 2022-05-09 07:00:12,991 - 192.168.0.100 - - [09/May/2022 07:00:12] "GET /ping HTTP/1.1" 200 -
INFO - 2022-05-09 07:00:31,618 - Server Started
INFO - 2022-05-09 07:00:31,621 - 192.168.0.104 - - [09/May/2022 07:00:31] "GET / HTTP/1.1" 200 -
INFO - 2022-05-09 07:00:33,405 - CUT in progress
INFO - 2022-05-09 07:00:33,434 - Sending to BasNet
DEBUG - 2022-05-09 07:00:33,439 - Starting new HTTP connection (1): u2net-predictor.tenant-compass.global.coreweave.com:80
DEBUG - 2022-05-09 07:00:34,132 - http://u2net-predictor.tenant-compass.global.coreweave.com:80 "POST / HTTP/1.1" 200 8534
INFO - 2022-05-09 07:00:34,135 - Saving Results
INFO - 2022-05-09 07:00:34,149 - Opening Mask
DEBUG - 2022-05-09 07:00:34,219 - STREAM b'IHDR' 16 13
DEBUG - 2022-05-09 07:00:34,220 - STREAM b'IDAT' 41 8477
INFO - 2022-05-09 07:00:34,290 - composing final Image
INFO - 2022-05-09 07:00:34,341 -  > saving final image...
INFO - 2022-05-09 07:00:34,472 - Completed in 1.066784143447876s
INFO - 2022-05-09 07:00:34,473 - 192.168.0.100 - - [09/May/2022 07:00:34] "POST /cut HTTP/1.1" 200 -
INFO - 2022-05-09 07:01:07,537 - ping
DEBUG - 2022-05-09 07:01:07,542 - Starting new HTTP connection (1): u2net-predictor.tenant-compass.global.coreweave.com:80
DEBUG - 2022-05-09 07:01:08,099 - http://u2net-predictor.tenant-compass.global.coreweave.com:80 "GET / HTTP/1.1" 200 None
INFO - 2022-05-09 07:01:08,100 - ping: 200 b'Hello U^2-Net!'
INFO - 2022-05-09 07:01:08,101 - 192.168.0.100 - - [09/May/2022 07:01:08] "GET /ping HTTP/1.1" 200 -
